# Omicron FRAnalyzer Export
# Software Version: 4.20
# Serial Number: OM-2024-TR05
# Date: 2025-02-10 14:30:00
# Winding Configuration: HV-LV
# Temperature: 22.0 C
# Transformer: Station Alpha TR-05
Frequency [Hz]	Magnitude [dB]	Phase [°]
20.0	-0.12	179.2
50.0	-0.19	178.3
100.0	-0.32	176.9
200.0	-0.52	174.8
500.0	-1.05	171.2
1000.0	-2.18	166.1
2000.0	-4.52	159.5
5000.0	-8.75	146.8
10000.0	-14.92	130.2
20000.0	-21.85	107.5
50000.0	-34.78	74.2
100000.0	-41.52	46.8
200000.0	-47.95	24.1
500000.0	-54.68	-13.8
1000000.0	-61.85	-51.2
2000000.0	-69.42	-87.5
